payment_id,type_payment,date_payment,order_id
150,Bank Transfer,2023-09-27,644
151,PayPal,2024-05-15,411
152,Credit Card,2023-04-05,557
153,Credit Card,2024-01-13,239
154,PayPal,2024-06-25,73
155,Bank Transfer,2024-11-22,527
156,Credit Card,2023-02-20,448
157,PayPal,2024-11-28,504
158,Bank Transfer,2024-07-23,41
159,Bank Transfer,2022-11-15,61
160,PayPal,2022-11-14,228
161,PayPal,2024-04-29,172
162,PayPal,2024-06-02,346
163,Credit Card,2023-01-19,230
164,PayPal,2022-09-01,431
165,PayPal,2024-05-25,835
166,Credit Card,2022-08-07,795
167,Bank Transfer,2023-10-27,102
168,Bank Transfer,2024-07-31,720
169,Bank Transfer,2025-04-05,37
170,PayPal,2024-11-15,658
171,PayPal,2023-11-10,844
172,PayPal,2024-07-04,754
173,Credit Card,2023-06-04,164
174,Credit Card,2024-04-27,973
175,Credit Card,2024-11-19,572
176,Credit Card,2024-03-19,980
177,Bank Transfer,2023-09-08,670
178,Credit Card,2024-07-27,514
179,PayPal,2023-04-29,823
180,Bank Transfer,2024-04-16,682
181,PayPal,2024-04-25,637
182,Credit Card,2022-07-25,94
183,Bank Transfer,2024-02-13,583
184,Credit Card,2025-02-17,833
185,Credit Card,2023-02-21,793
186,PayPal,2024-06-28,405
187,Bank Transfer,2023-08-21,476
188,Credit Card,2024-02-25,554
189,PayPal,2024-04-15,253
190,Credit Card,2024-04-27,20
191,Bank Transfer,2024-08-02,724
192,Bank Transfer,2022-11-26,832
193,PayPal,2024-12-02,979
194,Credit Card,2024-05-23,355
195,Bank Transfer,2023-03-30,153
196,Credit Card,2022-08-12,42
197,PayPal,2022-07-03,592
198,PayPal,2023-12-13,79
199,Bank Transfer,2023-07-30,631
200,PayPal,2022-09-28,67
201,PayPal,2022-07-09,731
202,Bank Transfer,2023-01-23,940
203,PayPal,2023-12-09,974
204,Credit Card,2024-10-10,100
205,PayPal,2023-03-16,838
206,PayPal,2024-04-21,513
207,Bank Transfer,2023-03-27,43
208,Bank Transfer,2024-05-14,870
209,Credit Card,2023-12-30,238
210,PayPal,2023-12-17,222
211,Credit Card,2022-12-26,301
212,Credit Card,2024-12-13,399
213,Bank Transfer,2023-06-14,163
214,Bank Transfer,2023-07-20,855
215,Bank Transfer,2023-04-24,890
216,PayPal,2024-08-30,642
217,PayPal,2022-09-22,218
218,Bank Transfer,2023-03-14,525
219,Credit Card,2023-04-12,532
220,PayPal,2022-10-22,673
221,PayPal,2023-12-24,687
222,Bank Transfer,2023-07-25,268
223,Bank Transfer,2024-06-25,717
224,Credit Card,2024-08-05,496
225,Bank Transfer,2024-04-16,432
226,PayPal,2024-01-01,665
227,Bank Transfer,2023-06-07,424
228,PayPal,2025-04-30,205
229,Bank Transfer,2024-07-21,813
230,Bank Transfer,2023-10-30,139
231,PayPal,2022-07-15,334
232,PayPal,2023-05-16,158
233,Credit Card,2024-01-03,235
234,Credit Card,2025-06-04,898
235,Credit Card,2023-09-24,779
236,Credit Card,2025-06-05,786
237,Credit Card,2023-09-25,343
238,PayPal,2022-08-24,396
239,Credit Card,2023-01-11,110
240,Credit Card,2023-01-31,926
241,Credit Card,2022-08-16,81
242,PayPal,2025-01-01,220
243,Credit Card,2024-09-16,82
244,PayPal,2022-12-17,288
245,PayPal,2023-09-26,690
246,PayPal,2024-04-13,466
247,PayPal,2023-10-21,801
248,PayPal,2023-08-31,342
249,PayPal,2022-11-05,480
250,Credit Card,2023-11-30,136
251,PayPal,2023-03-25,810
252,PayPal,2023-08-09,498
253,Bank Transfer,2023-11-09,672
254,PayPal,2025-02-18,612
255,Bank Transfer,2023-03-15,378
256,PayPal,2024-02-14,365
257,Bank Transfer,2024-07-20,659
258,Bank Transfer,2025-04-29,938
259,PayPal,2023-12-12,481
260,Bank Transfer,2024-08-16,377
261,PayPal,2024-02-05,341
262,Bank Transfer,2025-01-23,393
263,Credit Card,2025-04-18,674
264,PayPal,2024-04-28,214
265,PayPal,2023-12-30,227
266,Bank Transfer,2024-03-06,320
267,Credit Card,2022-06-25,738
268,Bank Transfer,2023-08-27,92
269,Bank Transfer,2024-10-03,621
270,Bank Transfer,2025-02-23,9
271,Bank Transfer,2023-12-07,178
272,PayPal,2025-01-02,299
273,PayPal,2023-02-26,247
274,Bank Transfer,2024-04-25,138
275,Credit Card,2024-01-22,406
276,PayPal,2023-01-23,944
277,PayPal,2023-10-17,540
278,Credit Card,2023-01-15,245
279,PayPal,2025-03-22,331
280,Credit Card,2024-10-20,339
281,PayPal,2023-01-07,63
282,PayPal,2024-03-29,216
283,PayPal,2022-11-04,516
284,Credit Card,2023-12-07,316
285,Credit Card,2025-04-13,547
286,Bank Transfer,2025-04-17,25
287,PayPal,2022-06-22,4
288,PayPal,2024-05-21,147
289,PayPal,2023-03-30,113
290,PayPal,2025-05-28,693
291,PayPal,2025-02-26,417
292,Credit Card,2025-02-16,528
293,Credit Card,2023-02-27,850
294,PayPal,2024-04-30,511
295,PayPal,2024-05-25,62
296,PayPal,2024-02-08,925
297,Bank Transfer,2024-04-26,6
298,Bank Transfer,2023-08-06,179
299,PayPal,2024-06-10,394
300,Credit Card,2024-09-21,766
301,Credit Card,2024-06-29,847
302,Credit Card,2025-02-05,457
303,Bank Transfer,2023-06-12,745
304,PayPal,2022-06-12,962
305,Bank Transfer,2022-08-14,751
306,PayPal,2024-10-31,444
307,Credit Card,2023-09-13,162
308,PayPal,2024-01-31,251
309,Credit Card,2022-10-06,660
310,Credit Card,2022-07-10,740
311,Credit Card,2023-09-30,193
312,Credit Card,2024-04-19,453
313,PayPal,2024-02-16,959
314,Credit Card,2023-09-02,50
315,PayPal,2024-08-09,65
316,PayPal,2023-07-08,651
317,Credit Card,2023-09-10,14
318,PayPal,2025-01-25,51
319,PayPal,2022-08-24,435
320,PayPal,2023-08-21,671
321,Credit Card,2024-04-24,17
322,Credit Card,2025-01-31,579
323,Bank Transfer,2024-07-31,388
324,Bank Transfer,2024-05-29,472
325,Credit Card,2023-01-07,858
326,Bank Transfer,2023-03-25,741
327,Credit Card,2024-11-21,257
328,Credit Card,2023-07-05,961
329,PayPal,2023-07-28,232
330,PayPal,2022-11-05,459
331,PayPal,2023-06-22,241
332,Credit Card,2024-06-27,248
333,Credit Card,2023-12-02,744
334,Credit Card,2023-01-01,312
335,Credit Card,2025-03-03,349
336,PayPal,2023-12-12,709
337,Bank Transfer,2025-02-24,290
338,PayPal,2024-11-24,586
339,PayPal,2025-06-08,931
340,PayPal,2022-08-31,202
341,PayPal,2025-03-17,518
342,Bank Transfer,2023-04-26,923
343,PayPal,2025-03-10,916
344,PayPal,2023-12-25,897
345,PayPal,2024-11-16,318
346,Credit Card,2025-01-31,186
347,Bank Transfer,2023-03-11,952
348,Bank Transfer,2024-10-05,418
349,PayPal,2025-06-08,59
350,PayPal,2024-11-23,958
351,Bank Transfer,2024-10-09,500
352,Credit Card,2022-10-06,544
353,PayPal,2023-08-06,273
354,Bank Transfer,2023-06-15,630
355,PayPal,2022-12-13,371
356,Bank Transfer,2025-01-06,185
357,Bank Transfer,2023-02-19,27
358,Bank Transfer,2023-10-22,427
359,PayPal,2025-04-06,533
360,PayPal,2024-07-13,536
361,PayPal,2023-09-30,552
362,Credit Card,2024-04-28,555
363,Bank Transfer,2024-12-20,246
364,Credit Card,2022-10-13,545
365,PayPal,2022-12-18,325
366,PayPal,2025-01-31,72
367,Bank Transfer,2025-04-21,209
368,PayPal,2023-06-19,212
369,Credit Card,2023-07-07,311
370,PayPal,2024-03-20,912
371,Credit Card,2023-06-02,469
372,Credit Card,2023-12-06,289
373,PayPal,2024-08-16,358
374,PayPal,2022-10-10,495
375,PayPal,2024-07-27,524
376,Credit Card,2025-01-20,287
377,Credit Card,2023-07-17,479
378,Credit Card,2023-12-18,635
379,Bank Transfer,2024-01-14,275
380,PayPal,2023-04-07,460
381,Bank Transfer,2024-08-12,964
382,PayPal,2024-04-06,213
383,PayPal,2023-03-22,680
384,PayPal,2023-08-20,899
385,Credit Card,2023-06-30,336
386,Bank Transfer,2022-09-11,628
387,Credit Card,2023-09-01,280
388,Credit Card,2024-06-29,650
389,Credit Card,2024-01-17,681
390,Bank Transfer,2025-01-15,735
391,PayPal,2024-12-04,34
392,PayPal,2025-02-07,21
393,Credit Card,2022-12-02,278
394,Bank Transfer,2022-10-21,606
395,Bank Transfer,2024-09-28,236
396,PayPal,2024-03-18,471
397,PayPal,2023-02-05,664
398,PayPal,2024-01-22,577
399,Credit Card,2024-10-20,917
400,PayPal,2023-12-22,822
401,Credit Card,2023-09-13,330
402,Credit Card,2025-01-09,922
403,Credit Card,2024-05-03,837
404,PayPal,2024-03-11,885
405,PayPal,2024-12-23,656
406,Bank Transfer,2024-04-03,467
407,Credit Card,2023-01-11,648
408,Bank Transfer,2024-01-11,805
409,PayPal,2022-10-11,708
410,Bank Transfer,2024-05-09,274
411,PayPal,2024-03-05,372
412,Credit Card,2024-03-16,797
413,Bank Transfer,2024-04-05,991
414,Credit Card,2024-10-16,982
415,PayPal,2022-12-03,297
416,PayPal,2023-08-07,874
417,Credit Card,2023-11-13,953
418,PayPal,2023-06-29,148
419,Bank Transfer,2023-05-21,264
420,PayPal,2024-04-24,778
421,Credit Card,2023-06-25,332
422,Credit Card,2023-05-22,529
423,Credit Card,2025-03-15,95
424,Bank Transfer,2023-05-09,729
425,PayPal,2024-02-12,413
426,PayPal,2023-02-28,374
427,Credit Card,2025-03-13,790
428,PayPal,2024-04-28,752
429,Credit Card,2024-06-04,998
430,Credit Card,2023-05-14,808
431,PayPal,2022-11-26,760
432,PayPal,2025-02-10,426
433,Bank Transfer,2024-11-19,397
434,PayPal,2022-08-19,921
435,Credit Card,2024-08-26,488
436,Bank Transfer,2022-08-17,609
437,Credit Card,2022-10-15,85
438,PayPal,2023-04-16,575
439,Credit Card,2025-01-21,75
440,Credit Card,2022-08-05,310
441,Credit Card,2023-11-21,5
442,Bank Transfer,2024-02-19,77
443,PayPal,2024-03-12,33
444,Credit Card,2024-11-28,327
445,Bank Transfer,2023-03-31,949
446,Credit Card,2023-10-22,522
447,Bank Transfer,2024-08-11,88
448,Credit Card,2023-09-05,713
449,PayPal,2022-10-20,676
450,PayPal,2024-11-21,324
451,PayPal,2023-06-05,877
452,PayPal,2023-06-07,440
453,PayPal,2025-04-24,133
454,PayPal,2025-01-05,13
455,Credit Card,2024-05-19,636
456,Bank Transfer,2024-01-25,929
457,PayPal,2022-10-04,391
458,PayPal,2022-08-26,224
459,PayPal,2023-04-13,188
460,Credit Card,2024-01-01,177
461,PayPal,2023-04-08,686
462,PayPal,2023-05-27,199
463,Bank Transfer,2023-02-25,791
464,Bank Transfer,2024-03-24,283
465,Credit Card,2023-09-02,702
466,Credit Card,2023-05-19,520
467,Credit Card,2023-11-23,439
468,Credit Card,2024-01-11,570
469,PayPal,2024-05-17,617
470,Credit Card,2022-11-05,819
471,PayPal,2024-03-09,387
472,PayPal,2023-09-23,535
473,Credit Card,2025-06-04,96
474,Bank Transfer,2025-03-23,76
475,PayPal,2024-04-08,309
476,Credit Card,2023-10-08,593
477,PayPal,2024-12-09,818
478,Bank Transfer,2023-07-20,887
479,PayPal,2023-05-30,438
480,Credit Card,2022-12-02,354
481,Bank Transfer,2025-02-26,918
482,Credit Card,2024-10-14,156
483,Credit Card,2022-11-20,749
484,PayPal,2024-04-17,242
485,PayPal,2023-06-10,996
486,Bank Transfer,2024-03-01,308
487,PayPal,2023-02-26,404
488,Credit Card,2024-01-12,131
489,Credit Card,2024-02-07,490
490,Credit Card,2024-08-13,217
491,PayPal,2023-06-20,90
492,PayPal,2023-01-05,475
493,Credit Card,2022-12-27,173
494,PayPal,2022-09-08,619
495,Bank Transfer,2023-05-02,867
496,Credit Card,2022-11-12,875
497,Credit Card,2023-12-15,281
498,Bank Transfer,2024-05-20,834
499,Bank Transfer,2024-10-01,853
500,PayPal,2023-12-30,44
501,PayPal,2023-04-03,725
502,Bank Transfer,2022-08-03,640
503,Credit Card,2025-03-13,282
504,Bank Transfer,2023-04-13,747
505,PayPal,2024-12-30,53
506,Bank Transfer,2024-05-25,345
507,Credit Card,2022-11-20,571
508,Credit Card,2025-05-09,956
509,Credit Card,2024-10-16,799
510,PayPal,2024-04-02,22
511,Bank Transfer,2023-06-03,773
512,Credit Card,2023-01-30,626
513,Bank Transfer,2024-08-12,733
514,PayPal,2024-10-29,800
515,Bank Transfer,2025-02-28,567
516,Bank Transfer,2024-01-14,107
517,PayPal,2024-05-31,771
518,Bank Transfer,2024-10-23,764
519,PayPal,2024-12-04,463
520,Credit Card,2023-10-28,54
521,Credit Card,2023-10-12,978
522,Bank Transfer,2022-12-10,627
523,Credit Card,2024-06-26,291
524,Bank Transfer,2023-11-02,101
525,Bank Transfer,2025-05-01,293
526,PayPal,2023-07-07,641
527,Credit Card,2024-03-10,700
528,Credit Card,2024-02-28,748
529,PayPal,2024-04-03,654
530,Bank Transfer,2024-06-07,29
531,Bank Transfer,2025-03-14,129
532,Bank Transfer,2023-12-04,66
533,PayPal,2023-02-28,692
534,Credit Card,2023-10-23,271
535,PayPal,2025-05-04,231
536,Bank Transfer,2023-05-17,23
537,Bank Transfer,2023-05-06,602
538,Credit Card,2023-04-08,234
539,Bank Transfer,2025-03-10,721
540,Credit Card,2024-11-21,817
541,Bank Transfer,2024-05-11,675
542,Credit Card,2022-12-08,508
543,PayPal,2024-03-12,420
544,PayPal,2024-11-06,229
545,PayPal,2022-09-06,302
546,PayPal,2024-03-21,714
547,Credit Card,2025-05-28,872
548,Credit Card,2025-04-01,40
549,PayPal,2024-11-09,988
550,Credit Card,2023-10-24,121
551,Credit Card,2024-02-04,375
552,PayPal,2022-12-30,951
553,Credit Card,2023-06-21,595
554,Bank Transfer,2022-12-27,891
555,Credit Card,2025-03-07,124
556,PayPal,2024-04-04,442
557,PayPal,2022-10-19,367
558,Credit Card,2023-08-10,176
559,PayPal,2023-01-20,691
560,Bank Transfer,2023-03-15,839
561,PayPal,2023-05-20,629
562,Credit Card,2024-11-07,250
563,Credit Card,2023-08-04,719
564,Credit Card,2022-12-23,768
565,Credit Card,2022-09-26,255
566,Bank Transfer,2024-01-10,727
567,PayPal,2023-09-20,632
568,PayPal,2023-05-26,169
569,Bank Transfer,2025-01-05,455
570,Bank Transfer,2024-01-21,449
571,Credit Card,2024-04-10,260
572,Credit Card,2022-12-21,788
573,PayPal,2023-05-30,103
574,Credit Card,2024-11-04,362
575,PayPal,2024-07-03,781
576,PayPal,2024-07-21,134
577,PayPal,2023-03-17,265
578,Bank Transfer,2024-11-12,794
579,PayPal,2023-11-09,64
580,Credit Card,2024-02-26,360
581,Bank Transfer,2024-03-22,783
582,Bank Transfer,2025-04-16,456
583,PayPal,2022-07-24,798
584,PayPal,2024-01-02,580
585,PayPal,2024-05-04,401
586,Bank Transfer,2023-01-18,868
587,PayPal,2023-07-19,142
588,Credit Card,2023-07-22,270
589,Bank Transfer,2023-10-10,939
590,PayPal,2023-03-02,256
591,Credit Card,2023-06-25,776
592,Bank Transfer,2024-12-20,109
593,Bank Transfer,2023-11-24,530
594,Bank Transfer,2023-06-24,864
595,Credit Card,2025-05-26,182
596,PayPal,2023-04-05,223
597,Credit Card,2024-06-06,204
598,Bank Transfer,2023-02-22,104
599,PayPal,2024-09-25,507
600,Credit Card,2023-10-06,756
601,PayPal,2024-04-19,787
602,Credit Card,2024-08-15,827
603,PayPal,2022-08-31,47
604,PayPal,2024-06-28,115
605,Credit Card,2024-04-20,307
606,Credit Card,2024-03-06,816
607,Bank Transfer,2023-06-27,32
608,Credit Card,2024-04-24,531
609,PayPal,2025-02-11,117
610,PayPal,2024-08-14,782
611,Bank Transfer,2024-03-05,145
612,PayPal,2022-10-26,685
613,PayPal,2025-03-01,564
614,PayPal,2022-07-18,28
615,Credit Card,2024-06-06,551
616,PayPal,2024-01-28,909
617,Bank Transfer,2025-02-05,98
618,PayPal,2023-02-26,774
619,Bank Transfer,2025-01-22,313
620,Bank Transfer,2024-08-01,954
621,PayPal,2022-09-04,589
622,Credit Card,2024-07-17,258
623,Bank Transfer,2025-02-19,31
624,Bank Transfer,2023-06-18,732
625,Credit Card,2023-11-14,407
626,Bank Transfer,2024-09-30,470
627,PayPal,2022-12-31,997
628,Bank Transfer,2024-05-26,706
629,Credit Card,2022-12-13,985
630,Bank Transfer,2024-02-03,734
631,Credit Card,2022-10-15,848
632,Bank Transfer,2023-04-30,803
633,PayPal,2023-07-25,184
634,Bank Transfer,2024-04-09,560
635,Credit Card,2024-10-22,473
636,PayPal,2024-12-22,576
637,Bank Transfer,2022-11-30,196
638,Credit Card,2023-08-08,191
639,PayPal,2024-10-03,359
640,Bank Transfer,2023-08-06,646
641,PayPal,2023-11-15,859
642,PayPal,2022-06-23,38
643,PayPal,2022-09-29,677
644,Bank Transfer,2023-12-31,930
645,Credit Card,2024-10-27,322
646,PayPal,2024-09-09,1000
647,Credit Card,2025-01-09,965
648,Bank Transfer,2022-12-16,78
649,Credit Card,2023-05-19,414
650,Credit Card,2022-12-25,780
651,PayPal,2023-05-19,895
652,Bank Transfer,2022-09-20,888
653,Credit Card,2025-03-26,623
654,Bank Transfer,2024-01-04,326
655,PayPal,2024-05-24,968
656,Credit Card,2024-06-05,183
657,Credit Card,2024-03-10,189
658,PayPal,2024-10-26,402
659,PayPal,2024-07-29,390
660,Bank Transfer,2024-06-15,422
661,PayPal,2024-01-06,170
662,Bank Transfer,2022-07-14,485
663,Bank Transfer,2024-09-29,807
664,Credit Card,2024-10-03,494
665,Bank Transfer,2023-01-22,722
666,PayPal,2023-01-26,45
667,Credit Card,2023-11-02,416
668,Bank Transfer,2025-04-22,249
669,PayPal,2023-10-27,201
670,PayPal,2023-10-18,936
671,Credit Card,2022-12-29,604
672,Credit Card,2022-09-04,108
673,Credit Card,2023-04-14,160
674,PayPal,2023-09-15,684
675,PayPal,2024-06-17,315
676,Credit Card,2025-02-01,550
677,PayPal,2022-07-09,237
678,Credit Card,2024-08-14,948
679,Bank Transfer,2024-12-16,933
680,Bank Transfer,2023-10-15,942
681,Bank Transfer,2023-02-14,860
682,Credit Card,2023-04-29,521
683,PayPal,2024-04-29,772
684,Credit Card,2024-05-03,840
685,Bank Transfer,2022-07-26,566
686,Credit Card,2023-02-03,285
687,Bank Transfer,2022-09-21,873
688,PayPal,2025-02-15,286
689,PayPal,2022-12-10,436
690,Bank Transfer,2023-11-13,266
691,PayPal,2023-01-03,49
692,PayPal,2024-01-12,112
693,Bank Transfer,2024-06-12,705
694,Credit Card,2023-04-24,549
695,Bank Transfer,2025-06-10,491
696,Bank Transfer,2023-11-08,558
697,Bank Transfer,2024-09-25,225
698,Bank Transfer,2023-07-25,321
699,Bank Transfer,2024-04-18,945
700,Credit Card,2022-08-24,36
701,Credit Card,2025-05-05,486
702,Bank Transfer,2023-03-15,597
703,Credit Card,2023-06-20,350
704,PayPal,2022-11-08,259
705,Credit Card,2023-06-01,503
706,Credit Card,2022-08-17,39
707,Credit Card,2023-05-01,645
708,PayPal,2022-06-24,904
709,PayPal,2022-07-16,512
710,PayPal,2024-05-20,647
711,PayPal,2024-02-07,812
712,PayPal,2023-12-12,695
713,Bank Transfer,2023-06-16,376
714,Credit Card,2023-08-30,69
715,Credit Card,2024-05-26,24
716,PayPal,2024-03-20,969
717,Credit Card,2024-04-05,132
718,PayPal,2023-03-11,363
719,PayPal,2023-04-29,379
720,PayPal,2023-05-11,653
721,Bank Transfer,2023-07-18,884
722,PayPal,2024-07-09,866
723,Bank Transfer,2025-05-18,428
724,Bank Transfer,2022-12-08,364
725,Credit Card,2024-09-20,151
726,PayPal,2025-03-29,845
727,Credit Card,2023-10-03,880
728,PayPal,2023-04-17,165
729,Credit Card,2025-01-08,896
730,PayPal,2025-04-23,352
731,Credit Card,2025-04-29,298
732,Bank Transfer,2025-03-20,624
733,Bank Transfer,2024-02-13,190
734,Credit Card,2022-11-05,704
735,PayPal,2023-03-29,893
736,Bank Transfer,2023-02-20,716
737,Credit Card,2022-10-16,389
738,PayPal,2024-07-15,328
739,Bank Transfer,2025-05-03,244
740,Bank Transfer,2023-11-05,861
741,Bank Transfer,2024-04-08,279
742,Bank Transfer,2023-11-24,19
743,PayPal,2024-08-13,947
744,Bank Transfer,2023-12-19,415
745,Credit Card,2024-08-01,106
746,Credit Card,2023-12-15,913
747,Credit Card,2023-08-10,563
748,Bank Transfer,2024-07-26,607
749,Credit Card,2023-08-13,608
750,Credit Card,2023-09-02,683
751,Bank Transfer,2022-12-25,474
752,Bank Transfer,2023-03-07,871
753,PayPal,2023-02-27,920
754,Bank Transfer,2025-01-22,746
755,Credit Card,2023-03-10,789
756,Credit Card,2024-11-16,820
757,PayPal,2024-10-10,60
758,PayPal,2025-02-10,154
759,PayPal,2024-04-18,582
760,PayPal,2024-07-30,919
761,PayPal,2022-10-20,35
762,Credit Card,2024-03-10,243
763,Credit Card,2024-01-18,443
764,Credit Card,2023-09-12,763
765,Bank Transfer,2023-12-25,843
766,PayPal,2022-06-15,975
767,PayPal,2022-08-23,195
768,PayPal,2025-02-14,314
769,Bank Transfer,2024-05-16,192
770,Credit Card,2024-04-21,757
771,Credit Card,2022-09-24,599
772,PayPal,2024-09-26,983
773,Credit Card,2022-09-28,541
774,PayPal,2024-04-22,777
775,Credit Card,2022-09-21,373
776,Credit Card,2024-07-25,678
777,Bank Transfer,2023-02-08,928
778,Credit Card,2024-12-06,625
779,PayPal,2023-01-21,886
780,PayPal,2024-04-03,753
781,PayPal,2023-11-15,711
782,PayPal,2023-11-05,831
783,Bank Transfer,2024-07-20,534
784,Credit Card,2025-06-05,338
785,Bank Transfer,2023-03-27,943
786,Credit Card,2023-01-25,639
787,Bank Transfer,2024-09-23,594
788,Bank Transfer,2024-03-08,451
789,Credit Card,2023-10-19,437
790,Credit Card,2024-12-09,767
791,Credit Card,2025-05-02,698
792,Bank Transfer,2023-07-03,429
793,Credit Card,2024-11-08,657
794,Bank Transfer,2023-09-07,963
795,Bank Transfer,2023-07-28,499
796,Credit Card,2024-05-12,464
797,PayPal,2023-01-25,141
798,Bank Transfer,2023-10-31,775
799,Credit Card,2025-02-20,171
800,Bank Transfer,2023-02-01,712
801,PayPal,2023-05-03,761
802,PayPal,2022-11-28,652
803,PayPal,2023-09-18,669
804,PayPal,2024-04-05,750
805,PayPal,2023-01-15,703
806,PayPal,2025-04-01,902
807,Bank Transfer,2024-12-30,403
808,Credit Card,2025-03-17,219
809,Credit Card,2023-09-01,187
810,PayPal,2022-07-22,517
811,Bank Transfer,2023-01-08,666
812,PayPal,2022-11-15,688
